Field name,Reservoir unit,Country,Region,Basin name,Tectonic regime,Latitude,Longitude,Operator company,Onshore/Offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Reservoir period,Lithology,Thickness (gross average ft),Thickness (net pay average ft),Porosity,Permeability
SERANG,BALIKPAPAN (UPPER DELTAIC SEQUENCE),INDONESIA,FAR EAST,KUTAI,INVERSION/COMPRESSION/EXTENSION/SHALE,-0.1669999999999999,117.67,CHEVRON,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC,5675,NEOGENE,SANDSTONE,500.0,180.0,28.0,1628.0
TOR,TOR-EKOFISK,NORWAY,EUROPE,NORTH SEA CENTRAL,GRAVITY/EVAPORITE/EXTENSION,56.6389,3.3355,CONOCOPHILLIPS,OFFSHORE,OIL,MATURE PRODUCTION,SALT/INVERSION/RIFT,9520,CRETACEOUS-PALEOGENE,CHALK,800.0,490.0,21.0,0.6
DZHIGALYBEG,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,CASPIAN SOUTH,COMPRESSION/EVAPORITE/EXTENSION/LINKED,39.47,52.73,DRAGON OIL,OFFSHORE,OIL,DEVELOPING,THRUST,10100,NEOGENE,SANDSTONE,8200.0,260.0,18.0,100.0
EMPIRE ABO,ABO,,,,COMPRESSION,,,BP,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5600,PERMIAN,DOLOMITE,300.0,151.0,10.0,50.0
KARACHAGANAK,UNNAMED,KAZAKHSTAN,FORMER SOVIET UNION,CASPIAN NORTH,COMPRESSION/EVAPORITE,51.3158,53.26,KARACHAGANAK INTEGRATED ORAGANIZATION,ONSHORE,GAS-CONDENSATE,REJUVENATING,SUB-SALT/FORELAND,11870,DEVONIAN-PERMIAN,LIMESTONE,6600.0,2600.0,10.0,8.0
NORTH ROBERTSON,CLEARFORK-GLORIETA,,,,COMPRESSION,,,TOTAL,ONSHORE,OIL,SECOND PLATEAU PRODUTION,FORELAND,5800,PERMIAN,DOLOMITE,1300.0,400.0,4.0,0.4
WHITNEY CANYON-CARTER CREEK,MISSION CANYON,USA,NORTH AMERICA,FOSSIL,COMPRESSION,41.5135,-110.9286,CHEVRON /BP,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,SUB-THRUST,13300,CARBONIFEROUS,DOLOMITE,750.0,261.0,7.0,1.0
TABER NORTH,UPPER MANNVILE (A POOL),,,,COMPRESSION/EROSION,,,CANADIAN SUPERIOR,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,3050,CRETACEOUS,SANDSTONE,165.0,35.0,25.0,2000.0
PEEJAY,HALFWAY,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EROSION,56.8646,-120.4777,CANADIAN NATURAL RESOURCES,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,3800,TRIASSIC,SANDSTONE,85.0,12.8,12.0,120.0
HENRY,DAKOTA SANDSTONE,USA,NORTH AMERICA,GREATER GREEN RIVER,COMPRESSION/EROSION,41.1334,-110.1768,CABOT OIL and GAS,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,FORELAND,13665,CRETACEOUS,SANDSTONE,350.0,19.0,14.0,43.4
BIBI HAKIMEH,ASMARI,IRAN,MIDDLE EAST,ZAGROS,COMPRESSION/EVAPORITE,30.0572,50.6384,NIOC,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,3150,PALEOGENE-NEOGENE,DOLOMITIC LIMESTONE,1600.0,672.0,9.0,1.0
MITSUE,WATT MOUNTAIN (GILWOOD A),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,55.1141,-114.4722,CHEVRON,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND/PASSIVE MARGIN,5700,DEVONIAN,SANDSTONE,80.0,13.0,13.0,230.0
GASIKULE,LOWER GANCHAIGOU,CHINA,,,COMPRESSION,38.1,90.87,PETROCHINA,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,10427,PALEOGENE,SANDSTONE,804.0,93.0,14.0,48.0
NASSER,ZELTEN,LIBYA,AFRICA,SIRT,EXTENSION/INVERSION,28.9056,19.7983,LNOC,ONSHORE,OIL,MATURE PRODUCTION,RIFT,5430,PALEOGENE,LIMESTONE,300.0,120.0,22.0,1500.0
NORTH SABINE LAKE,LOWER HACKBERRY (FRIO),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,29.9587,-93.7991,HILLCORP ENERGY,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,DELTA/SALT/PASSIVE MARGIN,10940,PALEOGENE,SHALY SANDSTONE,265.0,130.0,26.0,425.0
BARRACOUTA,LATROBE (M1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,INVERSION/COMPRESSION/EXTENSION/EROSION,-38.2786,147.7094,EXXONMOBIL /BHP BILLITON,OFFSHORE,OIL,TEMPORARILY SHUT-IN,INVERSION/RIFT,4360,PALEOGENE,SANDSTONE,98.0,49.0,27.0,5000.0
RAMBA,BATURAJA,INDONESIA,FAR EAST,SUMATRA SOUTH,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,-2.6544,104.1461,ASAMERA,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION/BACKARC,2650,NEOGENE,LIMESTONE,164.0,54.0,17.0,2000.0
WENMINGZHAI,SHAHEJIE,CHINA,FAR EAST,BOHAI,EXTENSION,35.77,115.2,SINOPEC,ONSHORE,OIL,MATURE PRODUCTION,RIFT,4462,PALEOGENE,SANDSTONE,6562.0,153.0,25.0,420.0
KHAFJI,RATAWI LIMESTONE,NEUTRAL ZONE,MIDDLE EAST,THE GULF,INVERSION/COMPRESSION/EVAPORITE/EROSION,28.5333,48.9167,ARABIAN OIL CO,OFFSHORE,OIL,UNKNOWN,FORELAND/SALT,6825,CRETACEOUS,LIMESTONE,550.0,173.0,22.0,17.0
BADR EL DIN-3,KHARITA,EGYPT,AFRICA,ABU GHARADIG,EXTENSION,29.841,27.915,BAPETCO,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,11200,CRETACEOUS,SANDSTONE,1378.0,446.0,14.0,340.0
ANASAZI,PARADOX (DESERT CREEK),USA,NORTH AMERICA,PARADOX,COMPRESSION/EXTENSION/EVAPORITE,37.0789,-109.2333,RIM ENERGY,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,5575,CARBONIFEROUS,DOLOMITE,80.0,46.0,14.0,15.0
BINDLEY,WARSAW,USA,NORTH AMERICA,ANADARKO,COMPRESSION/EROSION,38.1838,-99.9569,CONOCOPHILLIPS AND OTHERS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4580,CARBONIFEROUS,DOLOMITE,50.0,12.0,15.0,35.0
KOROLEV,NUMEROUS,KAZAKHSTAN,FORMER SOVIET UNION,CASPIAN NORTH,COMPRESSION/EVAPORITE,46.2175,53.5381,TENGIZCHEVROIL,ONSHORE,OIL,DEVELOPING,SUB-SALT/FORELAND,12746,CARBONIFEROUS-PERMIAN,LIMESTONE,3500.0,1500.0,6.0,6.0
SUFFIELD,UPPER MANNVILLE (J POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EROSION,50.2851,-111.1427,ALBERTA ENERGY COMPANY /WESTCOAST PETROLEUM,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,2950,CRETACEOUS,SANDSTONE,72.5,36.5,27.0,1000.0
LAKE CREEK,WILCOX (G SAND),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/SHALE/SYNSEDIMENTATION,30.2546,-95.5906,EXXONMOBIL,ONSHORE,GAS,DECLINING PRODUCTION,DELTA/SALT/PASSIVE MARGIN,11487,PALEOGENE,SANDSTONE,290.0,70.0,11.0,0.44
SHANSHAN,SANJIANFANG,CHINA,FAR EAST,TURPAN (TURFAN),COMPRESSION,43.05,90.35,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,9186,JURASSIC,SANDSTONE,951.0,67.0,12.0,7.9
HUTTON NORTHWEST,BRENT,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION/EROSION,61.1,1.3167,BP,OFFSHORE,OIL,ABANDONED,RIFT,10525,JURASSIC,SANDSTONE,410.0,180.0,18.0,100.0
WANGCHANG,QIANJIANG,CHINA,FAR EAST,JIANGHAN,EXTENSION/EVAPORITE/GRAVITY,30.41,112.81,SINOPEC,ONSHORE,OIL,NEARLY DEPLETED,RIFT,2421,PALEOGENE,SANDSTONE,5900.0,28.0,18.3,386.0
IAGIFU-HEDINIA,TORO,PAPUA NEW GUINEA,FAR EAST,PAPUAN FTB,COMPRESSION,-6.4347,143.2116,CHEVRON,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,5084,CRETACEOUS,SANDSTONE,328.0,300.0,13.0,600.0
VALHALLA,KASKAPAU (DOE CREEK I POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,55.4714,-119.3361,PETRO-CANADA AND OTHERS,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,2460,CRETACEOUS,SANDSTONE,11.0,12.0,23.0,210.0
CLIPPER,LEMAN SANDSTONE,UK,EUROPE,NORTH SEA SOUTHERN,INVERSION/COMPRESSION/EXTENSION/EVAPORITE/GRAVITY,53.4682,1.7338,SHELL,OFFSHORE,GAS,DECLINING PRODUCTION,SUB-SALT/INVERSION,7420,PERMIAN,SANDSTONE,715.0,580.0,11.0,0.5
SAIH RAWL,SHUAIBA,OMAN,MIDDLE EAST,GHABA SALT,COMPRESSION/EROSION/GRAVITY/EVAPORITE/EXTENSION,21.318,56.7018,PDO,ONSHORE,OIL,PLATEAU PRODUCTION,SALT/FORELAND,4478,CRETACEOUS,CHALKY LIMESTONE,200.0,110.0,27.0,7.0
FORD-GERALDINE,BELL CANYON,USA,NORTH AMERICA,PERMIAN,COMPRESSION,31.92,-104.0,CONOCOPHILLIPS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2650,PERMIAN,SANDSTONE,47.0,25.0,21.0,18.0
GOTURDEPE,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,CASPIAN SOUTH,COMPRESSION/EVAPORITE/EXTENSION/LINKED,39.66,53.77,TURKMENNEFT,ONSHORE,OIL,MATURE PRODUCTION,THRUST,5200,NEOGENE,SANDSTONE,7500.0,800.0,23.0,100.0
ANSCHUTZ RANCH EAST,NUGGET,USA,NORTH AMERICA,WESTERN OVERTHRUST,COMPRESSION,41.0799,-111.0518,BP,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,SUB-THRUST,12370,JURASSIC,SANDSTONE,1020.0,816.0,10.0,3.0
RHOURDE EL BAGUEL,MENKEL /HASSAOUNA,ALGERIA,AFRICA,GHADAMES,COMPRESSION/EROSION/EXTENSION,31.39,,SONATRACH,ONSHORE,OIL,REJUVENATING,INTRACRATONIC,8200,CAMBRIAN,SANDSTONE,1800.0,902.0,9.0,5.0
SAIH RAWL,BARIK,OMAN,MIDDLE EAST,GHABA SALT,COMPRESSION/EROSION/GRAVITY/EVAPORITE/EXTENSION,21.318,56.7018,PDO,ONSHORE,GAS-CONDENSATE,DEVELOPING,SALT/FORELAND,14600,CAMBRIAN-ORDOVICIAN,SANDSTONE,700.0,450.0,9.0,7.0
TURNER VALLEY,TURNER VALLEY (RUNDLE POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,50.6704,-114.2665,TALISMAN,ONSHORE,OIL,MATURE PRODUCTION,SUB-THRUST/FORELAND,3000,CARBONIFEROUS,DOLOMITE,450.0,296.0,8.2,7.0
ETAME,GAMBA,GABON,AFRICA,GABON SOUTH,EXTENSION/EROSION/GRAVITY/EVAPORITE,-3.7656,10.5213,VAALCO,OFFSHORE,OIL,DEVELOPING,SUB-SALT/RIFT,5590,CRETACEOUS,SANDSTONE,47.0,36.0,30.0,1550.0
CHELEKEN,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,CASPIAN SOUTH,COMPRESSION/EVAPORITE/EXTENSION/LINKED,39.58,53.13,TURKMENNEFT,ONSHORE-OFFSHORE,OIL,MATURE PRODUCTION,THRUST,1800,NEOGENE,SANDSTONE,7500.0,190.0,19.0,30.0
BRAVO DOME,TUBB,USA,NORTH AMERICA,SIERRA GRANDE UPLIFT,COMPRESSION,36.0049,-103.8177,BP,ONSHORE,CARBON DIOXIDE,PLATEAU PRODUCTION,FORELAND,1960,PERMIAN,SANDSTONE,250.0,120.0,20.0,42.0
BALAM SOUTH,TELISA 600,INDONESIA,FAR EAST,SUMATRA CENTRAL,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,1.6669999999999998,100.733,CALTEX PACIFIC,ONSHORE,OIL,REJUVENATING,INVERSION/BACKARC,1060,NEOGENE,LOW-RESISTIVITY SANDSTONE,120.0,70.0,32.0,68.0
VICTOR,LEMAN SANDSTONE,UK,EUROPE,NORTH SEA SOUTHERN,INVERSION/COMPRESSION/EXTENSION/EVAPORITE/GRAVITY,53.3299,2.3626,CONOCOPHILLIPS,OFFSHORE,GAS,DECLINING PRODUCTION,SUB-SALT/INVERSION,8175,PERMIAN,SANDSTONE,375.0,369.0,16.0,52.0
BOONSVILLE,BEND CONGLOMERATE,USA,NORTH AMERICA,FORT WORTH,INVERSION/EXTENSION/COMPRESSION,33.1875,-97.9167,NUMEROUS,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,4500,CARBONIFEROUS,CONGLOMERATE,1100.0,73.0,10.0,3.0
CAROLINE,SWAN HILLS (BEAVERHILL LAKE A),,,,COMPRESSION,,,NUMEROUS,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,FORELAND,11500,DEVONIAN,DOLOMITE,300.0,60.0,10.0,100.0
DUKHAN,UWAINAT,QATAR,MIDDLE EAST,THE GULF,COMPRESSION/GRAVITY/EVAPORITE/EXTENSION/LINKED,25.4211,50.7836,QATAR PETROLEUM,ONSHORE,OIL,UNKNOWN,SALT/FORELAND,6721,JURASSIC,LIMESTONE,120.0,75.0,18.0,15.0
EKOFISK WEST,TOR-EKOFISK,NORWAY,EUROPE,NORTH SEA CENTRAL,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,56.5667,3.0847,CONOCOPHILLIPS,OFFSHORE,GAS-CONDENSATE,ABANDONED,SALT/INVERSION/RIFT,9870,CRETACEOUS-PALEOGENE,CHALK,650.0,360.0,30.0,1.5
VERKHNECHONA,NEPA (VCH1-VCH2),RUSSIA,FORMER SOVIET UNION,SIBERIAN EASTERN,INVERSION/COMPRESSION/EXTENSION,60.8929,109.0385,VERKHNECHONSKNEFTEGAZ,ONSHORE,OIL,DEVELOPING,INVERSION/RIFT,5216,PROTEROZOIC,SANDSTONE,200.0,25.0,10.0,209.0
COALINGA,TEMBLOR,USA,,,COMPRESSION/STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,36.2674,-120.3659,CHEVRON AND OTHERS,ONSHORE,OIL,MATURE PRODUCTION,WRENCH/FOREARC,500,NEOGENE,SHALY SANDSTONE,700.0,190.0,34.0,850.0
OROCUAL,CARAPITA,VENEZUELA,LATIN AMERICA,EASTERN VENEZUELA,COMPRESSION/EXTENSION/LINKED,9.8667,-63.3333,PDVSA,ONSHORE,OIL,CONTINUING DEVELOPMENT,THRUST/FORELAND,10150,NEOGENE,SANDSTONE,300.0,160.0,13.0,35.0
LOCKHART CROSSING,WILCOX (1ST WILCOX SAND),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,30.5218,-90.9141,CALLON PETROLEUM AND OTHERS,ONSHORE,OIL,MATURE PRODUCTION,DELTA/PASSIVE MARGIN,10082,PALEOGENE,SANDSTONE,135.0,26.0,20.0,35.0
RAINBOW TREND,UPPER KEG RIVER-MUSKEG (RAINBOW A),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EVAPORITE/GRAVITY,58.5052,-119.2926,NUMEROUS,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,5866,DEVONIAN,LIMESTONE,756.0,400.0,11.8,37.0
WATERTON,RUNDLE-WABAMUN (A POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,49.3077,-114.0869,SHELL,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,SUB-THRUST/FORELAND,8100,DEVONIAN-CARBONIFEROUS,DOLOMITE,2350.0,142.0,4.0,0.6
WEST SEMINOLE,SAN ANDRES,,,,COMPRESSION,,,OCCIDENTAL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4810,PERMIAN,DOLOMITE,600.0,40.0,9.9,9.0
ALPINE,ALPINE,,,,COMPRESSION,,,CONOCOPHILLIPS,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,6600,JURASSIC,SANDSTONE,50.0,49.0,20.0,15.0
KATNOOK,PRETTY HILL (SANDSTONE),AUSTRALIA,FAR EAST,OTWAY,INVERSION/COMPRESSION/EXTENSION,-37.4556,140.7789,BORAL ENERGY RESOURCES LTD,ONSHORE,GAS,PLATEAU PRODUCTION,RIFT,9286,CRETACEOUS,SANDSTONE,221.0,62.0,14.5,8.6
HEATHER,BRENT,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION,60.95,0.8833,DNO,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,8981,JURASSIC,SANDSTONE,210.0,113.0,10.0,20.0
EKOFISK,TOR-EKOFISK,NORWAY,EUROPE,NORTH SEA CENTRAL,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,56.5357,3.1985,CONOCOPHILLIPS,OFFSHORE,OIL,SECOND PLATEAU PRODUTION,SALT/INVERSION/RIFT,9250,CRETACEOUS-PALEOGENE,CHALK,820.0,590.0,32.0,1.5
RANGELY,WEBER,USA,NORTH AMERICA,UINTA/PICEANCE,COMPRESSION,40.1135,-108.8829,CHEVRON,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,5500,CARBONIFEROUS-PERMIAN,SANDSTONE,526.0,189.0,12.0,8.0
ELKHORN RANCH,MISSION CANYON (MADISON),USA,NORTH AMERICA,WILLISTON,COMPRESSION,47.2376,-103.5028,TENNECO /CENEX /SHELL,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,9125,CARBONIFEROUS,DOLOMITE,105.0,40.0,16.0,25.0
BEAVER LODGE,MISSION CANYON (MADISON),,,,COMPRESSION,,,AMERADA HESS,ONSHORE,OIL,REJUVENATING,INTRACRATONIC,8350,CARBONIFEROUS,LIMESTONE,120.0,20.0,6.0,1.0
TALCO,PALUXY,,,,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,,,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,SALT/PASSIVE MARGIN,4059,CRETACEOUS,SANDSTONE,275.0,44.0,25.0,2460.0
AUK,ZECHSTEIN (HALIBUT),UK,EUROPE,NORTH SEA CENTRAL,EXTENSION,56.4125,2.0286,SHELL,OFFSHORE,OIL,DEPLETED,RIFT,7044,PERMIAN,DOLOMITE,30.0,30.0,13.0,53.0
REDWATER,LEDUC,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,53.65,-113.3333,IMPERIAL OIL RESOURCES,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,3080,DEVONIAN,LIMESTONE,800.0,100.0,8.0,100.0
HEIDRUN,FANGST,NORWAY,EUROPE,MID-NORWAY SHELF,EXTENSION/EROSION,65.3378,7.3096,STATOILHYDRO,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT,5692,JURASSIC,SANDSTONE,230.0,207.0,28.0,1450.0
QARUN,LOWER BAHARIYA,EGYPT,AFRICA,GINDI,INVERSION/COMPRESSION/EXTENSION,29.783,,QARUN PETROLEUM,ONSHORE,OIL,DEVELOPING,INVERSION/RIFT,8450,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,145.0,45.0,18.0,700.0
LOBSTER,BULMINELLA 1 SAND,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,GRAVITY/EXTENSION/EVAPORITE/DIAPIR/SYNSEDIMENTATION,28.101,-90.2021,MARATHON,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/SALT/PASSIVE MARGIN,8075,NEOGENE,SANDSTONE,460.0,150.0,24.0,900.0
BALDPATE,BIG SAND,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,27.69,-91.73,AMERADA HESS,OFFSHORE,GAS,PLATEAU PRODUCTION,SALT/PASSIVE MARGIN,13850,NEOGENE,SANDSTONE,118.0,100.0,27.0,836.0
MISKAR,ALEG (R1 INFERIOR),TUNISIA,AFRICA,PELAGIAN,INVERSION/COMPRESSION/EXTENSION,34.3856,11.8944,BG,OFFSHORE,GAS,DEVELOPING,RIFT,9967,CRETACEOUS,LIMESTONE,85.0,75.0,14.0,5.0
GAMYSHLDZHA,RED SERIES (HK-1 TO HK-5),TURKMENISTAN,FORMER SOVIET UNION,CASPIAN SOUTH,COMPRESSION/SHALE/REACTIVATION/BASEMENT-I,36.4333,54.0,TURKMENNEFT,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND/THRUST,9088,NEOGENE,SANDSTONE,1800.0,160.0,20.0,125.0
VAREGAN,MEGION-VAREGAN (A5-B10),RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,62.6167,77.6622,NOYABRSKNEFTEGAS,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,5577,CRETACEOUS,SANDSTONE,3150.0,429.0,23.6,187.0
CANO LIMON,LOWER CARBONERA,COLOMBIA,LATIN AMERICA,LLANOS,STRIKE-SLIP/BASEMENT-I,6.943,-71.1397,OCCIDENTAL,ONSHORE,OIL,REJUVENATING,WRENCH/FORELAND,6950,PALEOGENE,SANDSTONE,235.0,126.0,24.0,1450.0
ANDREW,LISTA (ANDREW SANDSTONE),,,,INVERSION/COMPRESSION/EXTENSION/EVAPORITE/GRAVITY,,,BP,OFFSHORE,OIL,DECLINING PRODUCTION,SALT/RIFT,7595,PALEOGENE,SANDSTONE,541.0,367.0,20.0,200.0
ROURKE GAP,UPPER MINNELUSA (C SAND),,,,COMPRESSION,,,WILDFIRE PARTNERS INC,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,10225,PERMIAN,SANDSTONE,100.0,25.0,11.3,97.0
ALWYN NORTH,STATFJORD,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION/EROSION,60.7833,1.7333,TOTAL,OFFSHORE,GAS-CONDENSATE,MATURE PRODUCTION,RIFT,10545,TRIASSIC-JURASSIC,SANDSTONE,869.0,512.0,13.5,330.0
YACHENG 13-1,LINGSHUI (LINGSHUI-3),CHINA,FAR EAST,QIONGDONGNAN,EXTENSION,17.5142,109.0088,CNOOC,OFFSHORE,GAS,PLATEAU PRODUCTION,RIFT,11270,PALEOGENE,SANDSTONE,686.0,308.0,12.68,281.0
YAREGA,KOYVA,RUSSIA,FORMER SOVIET UNION,TIMAN-PECHORA,COMPRESSION/EVAPORITE,63.2992,53.6303,KOMINEFT,ONSHORE,OIL,PLATEAU PRODUCTION,INVERSION/FORELAND,480,DEVONIAN,SANDSTONE,100.0,56.0,21.0,1000.0
NORTH BURBANK,BURBANK,USA,NORTH AMERICA,CHEROKEE,INVERSION/COMPRESSION/EXTENSION/EROSION,36.7297,-96.7333,CONOCOPHILLIPS,ONSHORE,OIL,UNKNOWN,FORELAND,3020,CARBONIFEROUS,SANDSTONE,90.0,47.0,16.8,50.0
YIBAL,SHUAIBA,OMAN,MIDDLE EAST,FAHUD SALT,COMPRESSION/EVAPORITE,22.1333,56.0,PDO,ONSHORE,OIL,DECLINING PRODUCTION,SALT/FORELAND,4440,CRETACEOUS,CHALK,350.0,300.0,28.0,5.0
FAIRWAY,JAMES LIMESTONE,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE/DIAPIR,32.1068,-95.5215,HUNT OIL COMPANY,ONSHORE,OIL,NEARLY DEPLETED,SALT/PASSIVE MARGIN,10000,CRETACEOUS,LIMESTONE,150.0,70.0,11.0,25.0
MALING,YANAN,CHINA,FAR EAST,ORDOS,COMPRESSION,36.22,107.62,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,3776,JURASSIC,SANDSTONE,984.0,24.0,16.0,72.0
CINTA,TALANG AKAR (ZONE 3),INDONESIA,FAR EAST,SUNDA,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,-5.4397,106.2639,REPSOL YPF,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/BACKARC,2880,PALEOGENE,SANDSTONE,200.0,65.0,18.0,505.0
KOVYKTA,PARFENOV,RUSSIA,FORMER SOVIET UNION,SIBERIAN EASTERN,COMPRESSION/EVAPORITE,55.4167,106.0,RUSIA PETROLEUM,ONSHORE,GAS,UNDEVELOPED,INTRACRATONIC,4000,PROTEROZOIC,SANDSTONE,200.0,49.0,16.0,5.0
WEEKS ISLAND,S SAND (RESERVOIR B) OR S RB,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE/DIAPIR/SYNSEDIMENTATION,29.8184,-91.778,SHELL AND OTHERS,ONSHORE,OIL,NEARLY DEPLETED,SALT/PASSIVE MARGIN,11600,NEOGENE,SANDSTONE,221.0,186.0,26.0,3500.0
MISKAR,ALEG (BIRENO),TUNISIA,AFRICA,PELAGIAN,INVERSION/COMPRESSION/EXTENSION,34.3856,11.8944,BG,OFFSHORE,GAS-CONDENSATE,DEVELOPING,RIFT,10702,CRETACEOUS,CHALKY LIMESTONE,128.0,49.0,13.0,0.1
ZAFIRO,AGBADA (QUA IBOE SANDS),EQUATORIAL GUINEA,AFRICA,NIGER DELTA,GRAVITY/COMPRESSION/SHALE/EXTENSION/LINKED,3.8428,8.0797,EXXONMOBIL,OFFSHORE,OIL,DEVELOPING,DELTA/PASSIVE MARGIN,4400,NEOGENE,SANDSTONE,190.0,100.0,27.0,2000.0
TERN,BRENT,UK,EUROPE,NORTH SEA NORTHERN,INVERSION/COMPRESSION/EXTENSION,61.2667,0.9167,SHELL,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,7252,JURASSIC,SANDSTONE,273.0,170.0,22.0,350.0
LAOJUNMIAO,BAIYANGHE (GANYOUQUAN K SAND),CHINA,FAR EAST,JIUQUAN,COMPRESSION/EROSION/EXTENSION/LINKED,39.7658,97.5663,PETROCHINA,ONSHORE,OIL,NEARLY DEPLETED,THRUST,335,PALEOGENE,SANDSTONE,210.0,43.0,21.0,237.0
KURTEN,WOODBINE-EAGLEFORD,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE,30.786,-96.4318,NUMEROUS,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,7940,CRETACEOUS,SANDSTONE,300.0,24.0,9.3,0.55
ARDJUNA-B,CIBULAKAN,INDONESIA,FAR EAST,JAVA NORTHWEST,INVERSION/COMPRESSION/EXTENSION,-5.895,107.6981,BP,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC,2310,NEOGENE,LOW-RESISTIVITY SANDSTONE,1197.0,263.0,26.0,300.0
PARENTIS,UNNAMED,FRANCE,EUROPE,AQUITAINE,COMPRESSION/EROSION,44.3367,-1.0959,VERMILION,ONSHORE-OFFSHORE,OIL,NEARLY DEPLETED,FORELAND,6550,CRETACEOUS,DOLOMITE,1300.0,200.0,11.0,10.0
